alpha3Code,gender,population,age
MOZ,Female,532090,1
MMR,Female,448832,1
NAM,Female,34800,1
NPL,Female,274104,1
NLD,Female,88515,1
NCL,Female,2108,1
NZL,Female,30357,1
NIC,Female,56911,1
NER,Female,476026,1
NGA,Female,3328616,1
PRK,Female,169736,1
NOR,Female,31859,1
OMN,Female,38983,1
PAK,Female,2442429,1
PSE,Female,74695,1
PAN,Female,37813,1
PNG,Female,104264,1
PRY,Female,67699,1
PER,Female,290470,1
PHL,Female,1149842,1
POL,Female,166377,1
PRT,Female,37376,1
PRI,Female,18875,1
QAT,Female,13119,1
REU,Female,6385,1
ROU,Female,90359,1
RUS,Female,858454,1
RWA,Female,177470,1
LCA,Female,1039,1
VCT,Female,795,1
WSM,Female,2175,1
STP,Female,3208,1
SAU,Female,306077,1
SEN,Female,263359,1
SRB,Female,44736,1
SYC,Female,697,1
SLE,Female,119078,1
SGP,Female,25363,1
SVK,Female,27347,1
SVN,Female,10085,1
SLB,Female,8117,1
SOM,Female,292542,1
ZAF,Female,557990,1
KOR,Female,219192,1
SSD,Female,206739,1
ESP,Female,192671,1
LKA,Female,150650,1
SDN,Female,620540,1
SUR,Female,4777,1
SWZ,Female,18464,1
SWE,Female,60490,1
CHE,Female,44555,1
SYR,Female,172550,1
TJK,Female,117185,1
TZA,Female,1035752,1
THA,Female,328755,1
TLS,Female,21072,1
TGO,Female,123764,1
TON,Female,1200,1
TTO,Female,8512,1
TUN,Female,96683,1
TUR,Female,620901,1
TKM,Female,64592,1
UGA,Female,841636,1
UKR,Female,221430,1
ARE,Female,42165,1
GBR,Female,395856,1
USA,Female,2036820,1
URY,Female,23163,1
UZB,Female,304379,1
VUT,Female,3552,1
VEN,Female,288644,1
VNM,Female,728246,1
ESH,Female,5505,1
YEM,Female,409656,1
ZMB,Female,308190,1
ZWE,Female,250800,1
AFG,Female,506762,10
ALB,Female,14769,10
DZA,Female,397021,10
AGO,Female,453032,10
ATG,Female,802,10
ARG,Female,358836,10
ARM,Female,19088,10
ABW,Female,656,10
AUS,Female,156988,10
AUT,Female,39161,10
AZE,Female,67094,10
BHS,Female,2717,10
BHR,Female,9685,10
BGD,Female,1515706,10
BRB,Female,1810,10
BLR,Female,51330,10
BEL,Female,65507,10
BLZ,Female,3692,10
BEN,Female,151039,10
BTN,Female,7153,10
BOL,Female,113279,10
BIH,Female,16756,10
BWA,Female,23246,10
BRA,Female,1461506,10
VIR,Female,745,10
BRN,Female,3031,10
BGR,Female,34985,10
BFA,Female,275990,10
BDI,Female,155857,10
KHM,Female,163842,10
CMR,Female,330641,10
CAN,Female,201104,10
CPV,Female,5441,10
CAF,Female,65788,10
TCD,Female,220653,10
CHL,Female,122240,10
CHN,Female,7679803,10
COL,Female,377521,10
COM,Female,10275,10
COG,Female,72864,10
COD,Female,1187986,10
CRI,Female,35318,10
HRV,Female,21328,10
CUB,Female,56716,10
CYP,Female,6508,10
CZE,Female,57099,10
DNK,Female,32480,10
DJI,Female,9486,10
DOM,Female,103429,10
ECU,Female,154375,10
EGY,Female,976010,10
SLV,Female,56393,10
GNQ,Female,14781,10
ERI,Female,70244,10
EST,Female,7629,10
ETH,Female,1354788,10
